InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
2,12,2,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,12,3,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,12,4,0,0,0,0,0,0,0,0,6,0,6,0,0,122
2,12,5,0,0,0,0,0,0,0,0,4,0,4,0,0,122
2,12,6,0,0,0,0,0,0,0,0,6,0,6,0,0,122
2,13,1,0,0,0,0,0,0,0,0,6,0,6,0,0,122
2,13,2,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,13,4,0,0,0,0,0,0,0,0,4,0,4,0,0,122
2,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,14,1,0,0,0,0,0,0,0,0,1,0,1,0,0,122
2,14,2,0,0,0,0,0,0,0,0,4,0,4,0,0,122
2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122
2,14,4,0,1,0,0,0,0,0,0,0,0,1,1,0,122
2,14,4,0,0,0,0,0,0,0,0,4,0,4,0,0,122
2,14,5,0,1,0,0,0,0,0,0,0,0,1,1,0,122
2,14,5,0,0,0,0,0,0,0,0,1,0,1,0,0,122
